"FullName","LineCount"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\apple-icon.jpg","1623"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\icon.jpg","1623"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\lib\supabase\database.types.ts","727"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\lib\melhor-envio.ts","591"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\supabase\migrations\20260409122605_abacatepay_cutover.sql","398"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\sql\abacatepay_cutover.sql","395"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\supabase\migrations\20260409143000_production_audit_hardening.sql","351"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\sql\security_hardening.sql","327"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\supabase\migrations\20260406120000_security_hardening.sql","327"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\admin\settings\LogisticsSection.tsx","280"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\admin\ProductBasicInfo.tsx","257"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\sql\abacatepay_metadata_sync.sql","255"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\admin\ProductForm.tsx","252"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\supabase\migrations\20260408113000_payment_flow_hardening.sql","252"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\conta\perfil\page.tsx","225"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\carrinho\components\ShippingSelector.tsx","225"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\configuracoes\actions.ts","223"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\supabase\migrations\20260409124846_abacatepay_metadata_sync.sql","189"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\actions.ts","179"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\categorias\components\CategoryTableRow.tsx","174"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\categorias\actions.ts","173"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\produtos\actions.ts","171"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\build_error.log","161"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\carrinho\page.tsx","161"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\ui\dialog.tsx","158"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\lib\customer-profile.ts","158"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\supabase\migrations\20260410113000_melhor_envio_phase1.sql","158"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\sql\melhor_envio_phase1.sql","158"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\categorias\components\CategoryManager.tsx","154"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\page.tsx","153"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\pedidos\components\OrderListClient.tsx","151"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\lib\abacatepay.ts","150"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\search\page.tsx","145"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\ui\sheet.tsx","143"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\admin\ProductImageManager.tsx","137"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\carrinho\components\CartSummary.tsx","137"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\admin\settings\ContentSection.tsx","136"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\admin\settings\BannerSection.tsx","134"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\conta\login\page.tsx","131"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\lib\payment-checkout.ts","128"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\produtos\components\ProductListClient.tsx","127"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\conta\pedidos\page.tsx","127"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\sucesso\page.tsx","126"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\docs\security\audit-2026-04-06.md","124"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\store\useCartStore.ts","120"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\ui\table.tsx","116"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\conta\cadastro\page.tsx","113"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\styles\theme.css","111"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\produtos\components\ProductTable.tsx","108"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\produtos\image-actions.ts","107"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\lib\store-shipping.ts","106"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\pedidos\actions.ts","105"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\produtos\page.tsx","104"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\categorias\components\CategoryForm.tsx","103"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\categorias\components\CategoryTable.tsx","103"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\sucesso\components\StatusSummary.tsx","102"
